Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,30732.449219,30859.699219,30445.900391,30514.900391,30514.900391,11300
2023-02-27,30338.699219,30345.500000,29667.099609,29919.199219,29919.199219,15700
2023-02-28,29986.199219,30294.449219,29608.949219,29663.949219,29663.949219,46200
2023-03-01,29722.150391,30121.650391,29712.800781,30097.750000,30097.750000,14100
2023-03-02,29883.099609,29936.400391,29618.599609,29717.449219,29717.449219,15800
2023-03-03,29968.750000,29988.550781,29774.050781,29817.050781,29817.050781,14800
2023-03-06,30048.699219,30340.949219,30032.050781,30179.750000,30179.750000,19000
2023-03-08,29944.199219,30096.699219,29729.250000,30065.750000,30065.750000,15000
2023-03-09,30090.250000,30096.599609,29712.000000,29742.349609,29742.349609,14000
2023-03-10,29418.599609,29584.449219,29324.000000,29545.500000,29545.500000,11300
2023-03-13,29695.000000,30051.599609,29187.099609,29267.000000,29267.000000,31200
2023-03-14,29281.250000,29402.250000,28638.900391,28784.699219,28784.699219,25500
2023-03-15,29080.349609,29179.500000,28689.400391,28716.500000,28716.500000,19100
2023-03-16,28694.300781,28746.349609,28400.349609,28517.250000,28517.250000,18800
2023-03-17,28737.699219,29120.750000,28721.099609,28854.449219,28854.449219,31800
2023-03-20,28732.849609,28744.300781,28209.050781,28442.949219,28442.949219,22400
2023-03-21,28455.650391,28552.000000,28124.250000,28164.849609,28164.849609,21600
2023-03-22,28375.900391,28549.000000,28148.400391,28217.599609,28217.599609,0
2023-03-23,28065.800781,28116.449219,27843.250000,27999.250000,27999.250000,19300
2023-03-24,28208.349609,28453.849609,27869.500000,27935.650391,27935.650391,19400
2023-03-27,27985.650391,28193.599609,27818.250000,27948.750000,27948.750000,13400
2023-03-28,27998.300781,28090.750000,27674.699219,27702.800781,27702.800781,19000
2023-03-29,27777.949219,28113.949219,27639.650391,28011.300781,28011.300781,23500
2023-03-31,28379.750000,28741.599609,28277.000000,28698.599609,28698.599609,22600
2023-04-03,28841.599609,28841.599609,28449.250000,28633.000000,28633.000000,13100
2023-04-05,28520.000000,29032.650391,28506.699219,28977.199219,28977.199219,21500
2023-04-06,28876.199219,29004.800781,28666.000000,28764.550781,28764.550781,16900
2023-04-10,28810.849609,29086.400391,28739.400391,29041.599609,29041.599609,12600
2023-04-11,29051.750000,29095.449219,28530.500000,28675.750000,28675.750000,17700
2023-04-12,28773.400391,29031.050781,28578.099609,28980.349609,28980.349609,16300
2023-04-13,28713.650391,28736.699219,28230.000000,28342.800781,28342.800781,27400
2023-04-17,27059.150391,27076.150391,26184.449219,27008.199219,27008.199219,84900
2023-04-18,27189.400391,27189.400391,26851.699219,27166.949219,27166.949219,28100
2023-04-19,27174.599609,27193.099609,26640.199219,26687.449219,26687.449219,26900
2023-04-20,26694.099609,26868.900391,26597.949219,26637.150391,26637.150391,19800
2023-04-21,26701.699219,26835.699219,26602.800781,26822.099609,26822.099609,27000
2023-04-24,26910.699219,27034.900391,26721.500000,27013.650391,27013.650391,24400
2023-04-25,27028.800781,27082.099609,26820.699219,26985.800781,26985.800781,18000
2023-04-26,27007.550781,27158.750000,26977.550781,27065.000000,27065.000000,16600
2023-04-27,27079.000000,27378.099609,27024.150391,27355.250000,27355.250000,24400
2023-04-28,27401.949219,27743.000000,27388.800781,27708.199219,27708.199219,39000
2023-05-02,27792.699219,28154.099609,27756.000000,28025.000000,28025.000000,26000
2023-05-03,27872.400391,27883.449219,27693.300781,27743.750000,27743.750000,16100
2023-05-04,27716.550781,27912.500000,27685.550781,27883.199219,27883.199219,14100
2023-05-05,27905.349609,27915.250000,27634.849609,27719.949219,27719.949219,14900
2023-05-08,27837.300781,27947.000000,27735.150391,27920.949219,27920.949219,14900
2023-05-09,27961.000000,28168.449219,27910.650391,28125.500000,28125.500000,15500
2023-05-10,28220.449219,28236.849609,27998.949219,28091.750000,28091.750000,14700
2023-05-11,28298.250000,28348.349609,28039.199219,28102.000000,28102.000000,16100
2023-05-12,28070.849609,28164.449219,27874.099609,28028.400391,28028.400391,15500
2023-05-15,28083.750000,28323.550781,27957.500000,28165.400391,28165.400391,13700
2023-05-16,28252.750000,28421.050781,28178.699219,28216.000000,28216.000000,12300
2023-05-17,28197.800781,28300.099609,27776.800781,27942.949219,27942.949219,22400
2023-05-18,28125.449219,28137.699219,27858.750000,27892.550781,27892.550781,13800
2023-05-19,28063.349609,28369.400391,28007.050781,28303.650391,28303.650391,22900
2023-05-22,28357.599609,29062.050781,28294.250000,29007.300781,29007.300781,22200
2023-05-23,29076.500000,29319.900391,28830.000000,28873.699219,28873.699219,20800
2023-05-24,28721.150391,28959.349609,28655.000000,28890.800781,28890.800781,14800
2023-05-25,28854.949219,28970.949219,28686.199219,28928.750000,28928.750000,16200
2023-05-26,28975.949219,29384.849609,28975.949219,29355.900391,29355.900391,17500
2023-05-29,29629.750000,29659.599609,29200.250000,29240.199219,29240.199219,13600
2023-05-30,29253.500000,29405.199219,29172.699219,29297.650391,29297.650391,17300
2023-05-31,29248.050781,29495.050781,29212.500000,29319.750000,29319.750000,46000
2023-06-01,29455.349609,29599.099609,29382.050781,29446.250000,29446.250000,13600
2023-06-02,29485.849609,29550.150391,29272.550781,29328.150391,29328.150391,21200
2023-06-05,29459.150391,29533.400391,29217.349609,29238.750000,29238.750000,14800
2023-06-06,29003.500000,29013.900391,28485.849609,28689.050781,28689.050781,27300
2023-06-07,28886.699219,28937.949219,28754.849609,28913.699219,28913.699219,16900
2023-06-08,28892.650391,28918.050781,28568.599609,28591.099609,28591.099609,19000
2023-06-09,28645.699219,28674.449219,28322.150391,28355.349609,28355.349609,19100
2023-06-12,28457.449219,28844.300781,28402.550781,28784.000000,28784.000000,18200
2023-06-13,28935.900391,28974.150391,28866.199219,28899.300781,28899.300781,17900
2023-06-14,28896.250000,28928.650391,28666.900391,28855.050781,28855.050781,18300
2023-06-15,28824.599609,28833.250000,28645.800781,28699.000000,28699.000000,27900
2023-06-16,28671.099609,28759.400391,28441.050781,28588.800781,28588.800781,42600
2023-06-19,28641.449219,28750.699219,28568.550781,28708.300781,28708.300781,16300
2023-06-20,28728.500000,28966.949219,28640.300781,28930.800781,28930.800781,20000
2023-06-21,29022.699219,29084.449219,28869.800781,29025.699219,29025.699219,15600
2023-06-22,28969.150391,28977.900391,28750.400391,28811.150391,28811.150391,17600
2023-06-23,28747.599609,28752.500000,28482.150391,28554.300781,28554.300781,18300
2023-06-26,28539.800781,28631.750000,28451.150391,28590.099609,28590.099609,12100
2023-06-27,28681.949219,28821.849609,28630.449219,28800.150391,28800.150391,11700
2023-06-28,28945.000000,28997.349609,28778.150391,28843.000000,28843.000000,16000
2023-06-30,29013.150391,29594.199219,28957.150391,29563.000000,29563.000000,28000
2023-07-03,29648.400391,29718.949219,29334.400391,29424.800781,29424.800781,19300
2023-07-04,29557.550781,29743.349609,29444.800781,29729.849609,29729.849609,19000
2023-07-05,29910.000000,29910.349609,29702.650391,29841.849609,29841.849609,21300
2023-07-06,29792.099609,29848.050781,29690.250000,29805.199219,29805.199219,18400
2023-07-07,29654.250000,29937.750000,29508.849609,29560.449219,29560.449219,18800
2023-07-10,29609.849609,29609.849609,29116.300781,29194.750000,29194.750000,15800
2023-07-11,29299.300781,29371.500000,29092.699219,29324.800781,29324.800781,20100
2023-07-12,29412.500000,29424.750000,29020.199219,29118.050781,29118.050781,24400
2023-07-13,29158.550781,29903.650391,29115.699219,29628.199219,29628.199219,39800
2023-07-14,29860.550781,31017.550781,29847.050781,30945.500000,30945.500000,53600
2023-07-17,31007.599609,31658.099609,30805.000000,31041.599609,31041.599609,51100
2023-07-18,31089.900391,31491.750000,30865.849609,31371.150391,31371.150391,37100
2023-07-19,31490.449219,31653.849609,31068.150391,31353.550781,31353.550781,30000
2023-07-20,31292.349609,31348.599609,30960.750000,31145.949219,31145.949219,20500
2023-07-21,29854.250000,30338.099609,29701.199219,29871.050781,29871.050781,78300
2023-07-24,29993.849609,30112.900391,29807.150391,29843.449219,29843.449219,21700
2023-07-25,29899.000000,29921.400391,29685.400391,29761.150391,29761.150391,18000
2023-07-26,29854.400391,29988.900391,29770.199219,29800.400391,29800.400391,16000
2023-07-27,29826.000000,29895.000000,29670.500000,29745.000000,29745.000000,36200
2023-07-28,29741.150391,29829.750000,29339.349609,29490.250000,29490.250000,19400
2023-07-31,29605.500000,29951.599609,29452.349609,29928.449219,29928.449219,22500
